Name,Price in $,Role,TeamName,auction_year,Price in rs,Nationality,BasePrices in Rs,Winning Bid in Rs,Capped/UnCapped,price_rs,price_crore,match_key,role_clean,runs,balls,matches_batted,strike_rate,runs_per_match,rpr_batting
Manan Vohra,,Batsman, Rajasthan Royals,2019,"20,00,000",,,,,2000000,0.2,m_vohra,batter,1083,863,51,125.5,21.24,106.2
Shivam Dube,,All-Rounder, Royal Challengers Bengaluru,2019,"5,00,00,000",,,,,50000000,5.0,s_dube,allrounder,1502,1077,61,139.5,24.62,4.924
Shimron Hetmyer,,Batsman, Royal Challengers Bengaluru,2019,"4,20,00,000",,,,,42000000,4.2,s_hetmyer,batter,1243,854,65,145.6,19.12,4.5524
Akshdeep Nath,,All-Rounder, Royal Challengers Bengaluru,2019,"3,60,00,000",,,,,36000000,3.6,a_nath,allrounder,90,99,10,90.9,9.0,2.5
Prayas Ray Barman,,All-Rounder, Royal Challengers Bengaluru,2019,"1,50,00,000",,,,,15000000,1.5,p_barman,allrounder,19,25,1,76.0,19.0,12.6667
Himmat Singh,,Batsman, Royal Challengers Bengaluru,2019,"65,00,000",,,,,6500000,0.65,h_singh,batter,833,636,88,131.0,9.47,14.5692
Himmat Singh,,Batsman, Royal Challengers Bengaluru,2019,"65,00,000",,,,,6500000,0.65,h_singh,batter,18,12,4,150.0,4.5,6.9231
Himmat Singh,,Batsman, Royal Challengers Bengaluru,2019,"65,00,000",,,,,6500000,0.65,h_singh,batter,123,119,8,103.4,15.38,23.6615
Heinrich Klaasen,,Wicket Keeper, Royal Challengers Bengaluru,2019,"50,00,000",,,,,5000000,0.5,h_klaasen,batter,993,613,32,162.0,31.03,62.06
Devdutt Padikkal,,Batsman, Royal Challengers Bengaluru,2019,"20,00,000",,,,,2000000,0.2,d_padikkal,batter,1559,1323,64,117.8,24.36,121.8
Milind Kumar,,All-Rounder, Royal Challengers Bengaluru,2019,"20,00,000",,,,,2000000,0.2,m_kumar,allrounder,10,20,5,50.0,2.0,10.0
Jonny Bairstow ,,Wicket Keeper, Sunrisers Hyderabad,2019,"2,20,00,000",,,,,22000000,2.2,j_bairstow,batter,1589,1132,50,140.4,31.78,14.4455
Wriddhiman Saha,,Wicket Keeper, Sunrisers Hyderabad,2019,"1,20,00,000",,,,,12000000,1.2,w_saha,batter,2934,2368,143,123.9,20.52,17.1
Martin Guptill,,Batsman, Sunrisers Hyderabad,2019,"1,00,00,000",,,,,10000000,1.0,m_guptill,batter,271,197,13,137.6,20.85,20.85
Sam Curran,,All-Rounder, Chennai Super Kings,2020,"5,50,00,000",,,,,55000000,5.5,s_curran,allrounder,883,673,48,131.2,18.4,3.3455
Shimron Hetmyer,,Batsman, Delhi Capitals,2020,"7,75,00,000",,,,,77500000,7.75,s_hetmyer,batter,1243,854,65,145.6,19.12,2.4671
Marcus Stoinis,,All-Rounder, Delhi Capitals,2020,"4,80,00,000",,,,,48000000,4.8,m_stoinis,allrounder,1866,1366,88,136.6,21.2,4.4167
Alex Carey,,Wicket Keeper, Delhi Capitals,2020,"2,40,00,000",,,,,24000000,2.4,a_carey,batter,32,29,3,110.3,10.67,4.4458
Jason Roy,,Batsman, Delhi Capitals,2020,"1,50,00,000",,,,,15000000,1.5,j_roy,batter,614,460,21,133.5,29.24,19.4933
Chris Woakes,,All-Rounder, Delhi Capitals,2020,"1,50,00,000",,,,,15000000,1.5,c_woakes,allrounder,78,77,12,101.3,6.5,4.3333
Lalit Yadav,,All-Rounder, Delhi Capitals,2020,"20,00,000",,,,,2000000,0.2,l_yadav,allrounder,305,301,21,101.3,14.52,72.6
Glenn Maxwell,,All-Rounder, Kings XI Punjab,2020,"10,75,00,000",,,,,107500000,10.75,g_maxwell,allrounder,2772,1842,128,150.5,21.66,2.0149
Chris Jordan,,All-Rounder, Kings XI Punjab,2020,"3,00,00,000",,,,,30000000,3.0,c_jordan,allrounder,81,81,12,100.0,6.75,2.25
Prabhsimran Singh,,Wicket Keeper, Kings XI Punjab,2020,"55,00,000",,,,,5500000,0.55,p_singh,batter,756,528,34,143.2,22.24,40.4364
Prabhsimran Singh,,Wicket Keeper, Kings XI Punjab,2020,"55,00,000",,,,,5500000,0.55,p_singh,batter,7,12,5,58.3,1.4,2.5455
Deepak Hooda,,All-Rounder, Kings XI Punjab,2020,"50,00,000",,,,,5000000,0.5,d_hooda,allrounder,1466,1170,96,125.3,15.27,30.54
James Neesham,,All-Rounder, Kings XI Punjab,2020,"50,00,000",,,,,5000000,0.5,j_neesham,allrounder,92,93,10,98.9,9.2,18.4
Pat Cummins,,All-Rounder, Kolkata Knight Riders,2020,"15,50,00,000",,,,,155000000,15.5,p_cummins,allrounder,515,359,39,143.5,13.21,0.8523
Eoin Morgan,,Batsman, Kolkata Knight Riders,2020,"5,25,00,000",,,,,52500000,5.25,e_morgan,batter,1406,1181,74,119.1,19.0,3.619
Tom Banton,,Batsman, Kolkata Knight Riders,2020,"1,00,00,000",,,,,10000000,1.0,t_banton,batter,18,22,2,81.8,9.0,9.0
Rahul Tripathi,,Batsman, Kolkata Knight Riders,2020,"60,00,000",,,,,6000000,0.6,r_tripathi,batter,2236,1650,93,135.5,24.04,40.0667
Chris Green,,All-Rounder, Kolkata Knight Riders,2020,"20,00,000",,,,,2000000,0.2,c_green,allrounder,707,472,28,149.8,25.25,126.25
Nikhil Shankar Naik,,Wicket Keeper, Kolkata Knight Riders,2020,"20,00,000",,,,,2000000,0.2,n_naik,batter,31,53,4,58.5,7.75,38.75
Chris Lynn,,Batsman, Mumbai Indians,2020,"2,00,00,000",,,,,20000000,2.0,c_lynn,batter,1329,974,42,136.4,31.64,15.82
Saurabh Tiwary,,Batsman, Mumbai Indians,2020,"50,00,000",,,,,5000000,0.5,s_tiwary,batter,1494,1291,73,115.7,20.47,40.94
Prince Balwant Rai Singh,,All-Rounder, Mumbai Indians,2020,"20,00,000",,,,,2000000,0.2,p_singh,allrounder,756,528,34,143.2,22.24,111.2
Prince Balwant Rai Singh,,All-Rounder, Mumbai Indians,2020,"20,00,000",,,,,2000000,0.2,p_singh,allrounder,7,12,5,58.3,1.4,7.0
Robin Uthappa,,Batsman, Rajasthan Royals,2020,"3,00,00,000",,,,,30000000,3.0,r_uthappa,batter,4954,3927,197,126.2,25.15,8.3833
Yashasvi Jaiswal,,All-Rounder, Rajasthan Royals,2020,"2,40,00,000",,,,,24000000,2.4,y_jaiswal,allrounder,1607,1095,52,146.8,30.9,12.875
Tom Curran,,All-Rounder, Rajasthan Royals,2020,"1,00,00,000",,,,,10000000,1.0,t_curran,allrounder,127,108,10,117.6,12.7,12.7
Anuj Rawat,,Wicket Keeper, Rajasthan Royals,2020,"80,00,000",,,,,8000000,0.8,a_rawat,batter,318,276,21,115.2,15.14,18.925
David Miller,,Batsman, Rajasthan Royals,2020,"75,00,000",,,,,7500000,0.75,d_miller,batter,2924,2171,123,134.7,23.77,31.6933
Christopher Morris,,All-Rounder, Royal Challengers Bengaluru,2020,"10,00,00,000",,,,,100000000,10.0,c_morris,allrounder,618,413,49,149.6,12.61,1.261
Aaron Finch,,Batsman, Royal Challengers Bengaluru,2020,"4,40,00,000",,,,,44000000,4.4,a_finch,batter,2092,1696,90,123.3,23.24,5.2818
Isuru Udana,,All-Rounder, Royal Challengers Bengaluru,2020,"50,00,000",,,,,5000000,0.5,i_udana,allrounder,15,11,4,136.4,3.75,7.5
Joshua Philippe,,Wicket Keeper, Royal Challengers Bengaluru,2020,"20,00,000",,,,,2000000,0.2,j_philippe,batter,78,80,5,97.5,15.6,78.0
Mitchell Marsh,,All-Rounder, Sunrisers Hyderabad,2020,"2,00,00,000",,,,,20000000,2.0,m_marsh,allrounder,665,532,36,125.0,18.47,9.235
Priyam Garg,,Batsman, Sunrisers Hyderabad,2020,"1,90,00,000",,,,,19000000,1.9,p_garg,batter,273,247,19,110.5,14.37,7.5632
Virat Singh,,Batsman, Sunrisers Hyderabad,2020,"1,90,00,000",,,,,19000000,1.9,v_singh,batter,0,1,1,0.0,0.0,0.0
Virat Singh,,Batsman, Sunrisers Hyderabad,2020,"1,90,00,000",,,,,19000000,1.9,v_singh,batter,4,3,2,133.3,2.0,1.0526
Virat Singh,,Batsman, Sunrisers Hyderabad,2020,"1,90,00,000",,,,,19000000,1.9,v_singh,batter,15,26,2,57.7,7.5,3.9474
Fabian Allen,,All-Rounder, Sunrisers Hyderabad,2020,"50,00,000",,,,,5000000,0.5,f_allen,allrounder,14,19,3,73.7,4.67,9.34
Sanjay Yadav,,All-Rounder, Sunrisers Hyderabad,2020,"20,00,000",,,,,2000000,0.2,s_yadav,allrounder,3594,2522,135,142.5,26.62,133.1
Abdul Samad,,All-Rounder, Sunrisers Hyderabad,2020,"20,00,000",,,,,2000000,0.2,a_samad,allrounder,579,408,39,141.9,14.85,74.25
Krishnappa Gowtham,,All-Rounder, Chennai Super Kings,2021,"9,25,00,000",,,,,92500000,9.25,k_gowtham,allrounder,247,159,27,155.3,9.15,0.9892
Moeen Ali,,All-Rounder, Chennai Super Kings,2021,"7,00,00,000",,,,,70000000,7.0,m_ali,allrounder,1162,849,57,136.9,20.39,2.9129
Cheteshwar Pujara,,Batsman, Chennai Super Kings,2021,"50,00,000",,,,,5000000,0.5,c_pujara,batter,390,403,22,96.8,17.73,35.46
Tom Curran ,,All-Rounder , Delhi Capitals,2021,"5,25,00,000",,,,,52500000,5.25,t_curran,allrounder,127,108,10,117.6,12.7,2.419
Steven Smith ,,Batsman , Delhi Capitals,2021,"2,20,00,000",,,,,22000000,2.2,s_smith,batter,2495,1999,93,124.8,26.83,12.1955
Sam Billings ,,Wicket Keeper , Delhi Capitals,2021,"2,00,00,000",,,,,20000000,2.0,s_billings,batter,503,399,27,126.1,18.63,9.315
Ripal Patel ,,All-Rounder , Delhi Capitals,2021,"20,00,000",,,,,2000000,0.2,r_patel,allrounder,80,76,7,105.3,11.43,57.15
Vishnu Vinod ,,Wicket Keeper , Delhi Capitals,2021,"20,00,000",,,,,2000000,0.2,v_vinod,batter,56,58,6,96.6,9.33,46.65
Shakib Al Hasan ,,All-Rounder , Kolkata Knight Riders,2021,"3,20,00,000",,,,,32000000,3.2,s_hasan,allrounder,795,665,52,119.5,15.29,4.7781
Ben Cutting ,,All-Rounder , Kolkata Knight Riders,2021,"75,00,000",,,,,7500000,0.75,b_cutting,allrounder,238,146,17,163.0,14.0,18.6667
Karun Nair ,,Batsman , Kolkata Knight Riders,2021,"50,00,000",,,,,5000000,0.5,k_nair,batter,1496,1192,68,125.5,22.0,44.0
Pawan Negi ,,All-Rounder , Kolkata Knight Riders,2021,"50,00,000",,,,,5000000,0.5,p_negi,allrounder,365,301,35,121.3,10.43,20.86
Venkatesh Iyer ,,All-Rounder , Kolkata Knight Riders,2021,"20,00,000",,,,,2000000,0.2,v_iyer,allrounder,1326,1000,49,132.6,27.06,135.3
Sheldon Jackson ,,Wicket Keeper , Kolkata Knight Riders,2021,"20,00,000",,,,,2000000,0.2,s_jackson,batter,61,57,8,107.0,7.62,38.1
James Neesham ,,All-Rounder , Mumbai Indians,2021,"50,00,000",,,,,5000000,0.5,j_neesham,allrounder,92,93,10,98.9,9.2,18.4
Marco Jansen ,,All-Rounder , Mumbai Indians,2021,"20,00,000",,,,,2000000,0.2,m_jansen,allrounder,66,71,12,93.0,5.5,27.5
Arjun Tendulkar ,,All-Rounder , Mumbai Indians,2021," 20,00,000",,,,,2000000,0.2,a_tendulkar,allrounder,13,9,1,144.4,13.0,65.0
Shahrukh Khan ,,All-Rounder , Punjab Kings,2021,"5,25,00,000",,,,,52500000,5.25,s_khan,allrounder,585,456,36,128.3,16.25,3.0952
Moises Henriques ,,All-Rounder , Punjab Kings,2021,"4,20,00,000",,,,,42000000,4.2,m_henriques,allrounder,1000,801,54,124.8,18.52,4.4095
Dawid Malan ,,All-Rounder , Punjab Kings,2021,"1,50,00,000",,,,,15000000,1.5,d_malan,allrounder,26,26,1,100.0,26.0,17.3333
Fabian Allen ,, All-Rounder , Punjab Kings,2021,"75,00,000",,,,,7500000,0.75,f_allen,allrounder,14,19,3,73.7,4.67,6.2267
Saurabh Kumar ,,All-Rounder , Punjab Kings,2021,"20,00,000",,,,,2000000,0.2,s_kumar,allrounder,18,26,3,69.2,6.0,30.0
Christopher Morris ,,All-Rounder , Rajasthan Royals,2021,"16,25,00,000",,,,,162500000,16.25,c_morris,allrounder,618,413,49,149.6,12.61,0.776
Shivam Dube ,,All-Rounder , Rajasthan Royals,2021,"4,40,00,000",,,,,44000000,4.4,s_dube,allrounder,1502,1077,61,139.5,24.62,5.5955
Liam Livingstone ,,All-Rounder , Rajasthan Royals,2021,"75,00,000",,,,,7500000,0.75,l_livingstone,allrounder,939,609,39,154.2,24.08,32.1067
Kyle Jamieson ,,All-Rounder , Royal Challengers Bengaluru,2021,"15,00,00,000",,,,,150000000,15.0,k_jamieson,allrounder,65,55,7,118.2,9.29,0.6193
Glenn Maxwell ,,All-Rounder , Royal Challengers Bengaluru,2021,"14,25,00,000",,,,,142500000,14.25,g_maxwell,allrounder,2772,1842,128,150.5,21.66,1.52
Dan Christian ,,All-Rounder , Royal Challengers Bengaluru,2021,"4,80,00,000",,,,,48000000,4.8,d_christian,allrounder,460,408,41,112.7,11.22,2.3375
Sachin Baby ,,Batsman , Royal Challengers Bengaluru,2021,"20,00,000",,,,,2000000,0.2,s_baby,batter,144,123,11,117.1,13.09,65.45
Rajat Patidar ,,Batsman , Royal Challengers Bengaluru,2021,"20,00,000",,,,,2000000,0.2,r_patidar,batter,799,534,24,149.6,33.29,166.45
Kona Srikar Bharat ,, Wicket Keeper, Royal Challengers Bengaluru,2021," 20,00,000",,,,,2000000,0.2,k_bharat,batter,199,168,8,118.5,24.88,124.4
Kedar Jadhav ,,All-Rounder , Sunrisers Hyderabad,2021,"2,00,00,000",,,,,20000000,2.0,k_jadhav,allrounder,1208,1012,81,119.4,14.91,7.455
Robin Uthappa ,,Batsman , Chennai Super Kings,2022,"2,00,00,000 ",Indian ,,,,20000000,2.0,r_uthappa,batter,4954,3927,197,126.2,25.15,12.575
Dwayne Bravo ,,All-Rounder , Chennai Super Kings,2022,"4,40,00,000 ",Overseas ,,,,44000000,4.4,d_bravo,allrounder,1560,1247,110,125.1,14.18,3.2227
Dwayne Bravo ,,All-Rounder , Chennai Super Kings,2022,"4,40,00,000 ",Overseas ,,,,44000000,4.4,d_bravo,allrounder,6,5,1,120.0,6.0,1.3636
Ambati Rayudu ,,Wicket Keeper , Chennai Super Kings,2022,"6,75,00,000 ",Indian ,,,,67500000,6.75,a_rayudu,batter,4348,3490,185,124.6,23.5,3.4815
N. Jagadeesan ,,Wicket Keeper , Chennai Super Kings,2022,"20,00,000 ",Indian ,,,,2000000,0.2,n_jagadeesan,batter,162,155,10,104.5,16.2,81.0
Shivam Dube ,,All-Rounder , Chennai Super Kings,2022,"4,00,00,000 ",Indian ,,,,40000000,4.0,s_dube,allrounder,1502,1077,61,139.5,24.62,6.155
Chris Jordan ,,All-Rounder , Chennai Super Kings,2022,"3,60,00,000 ",Overseas ,,,,36000000,3.6,c_jordan,allrounder,81,81,12,100.0,6.75,1.875
Devon Conway ,,Batsman , Chennai Super Kings,2022,"1,00,00,000 ",Overseas ,,,,10000000,1.0,d_conway,batter,924,669,22,138.1,42.0,42.0
Dwaine Pretorius ,,All-Rounder , Chennai Super Kings,2022,"50,00,000 ",Overseas ,,,,5000000,0.5,d_pretorius,allrounder,44,28,5,157.1,8.8,17.6
Mitchell Santner ,,All-Rounder , Chennai Super Kings,2022,"1,90,00,000 ",Overseas ,,,,19000000,1.9,m_santner,allrounder,70,77,11,90.9,6.36,3.3474
David Warner ,,Batsman , Delhi Capitals,2022,"6,25,00,000 ",Overseas ,,,,62500000,6.25,d_warner,batter,6567,4849,184,135.4,35.69,5.7104
Mitchell Marsh ,,All-Rounder , Delhi Capitals,2022,"6,50,00,000 ",Overseas ,,,,65000000,6.5,m_marsh,allrounder,665,532,36,125.0,18.47,2.8415
Sarfaraz Khan ,,All-Rounder , Delhi Capitals,2022,"20,00,000 ",Indian ,,,,2000000,0.2,s_khan,allrounder,585,456,36,128.3,16.25,81.25
Kamlesh Nagarkoti ,,All-Rounder , Delhi Capitals,2022,"1,10,00,000 ",Indian ,,,,11000000,1.1,k_nagarkoti,allrounder,22,34,7,64.7,3.14,2.8545
K.S. Bharat ,,Wicket Keeper , Delhi Capitals,2022,"2,00,00,000 ",Indian ,,,,20000000,2.0,k_bharat,batter,199,168,8,118.5,24.88,12.44
Mandeep Singh ,,Batsman , Delhi Capitals,2022,"1,10,00,000 ",Indian ,,,,11000000,1.1,m_singh,batter,1706,1418,97,120.3,17.59,15.9909
Yash Dhull ,,All-Rounder , Delhi Capitals,2022,"50,00,000 ",Indian ,,,,5000000,0.5,y_dhull,allrounder,16,23,3,69.6,5.33,10.66
Ripal Patel ,,All-Rounder , Delhi Capitals,2022,"20,00,000 ",Indian ,,,,2000000,0.2,r_patel,allrounder,80,76,7,105.3,11.43,57.15
Lalit Yadav ,,All-Rounder , Delhi Capitals,2022,"65,00,000 ",Indian ,,,,6500000,0.65,l_yadav,allrounder,305,301,21,101.3,14.52,22.3385
Rovman Powell ,,Batsman , Delhi Capitals,2022,"2,80,00,000 ",Overseas ,,,,28000000,2.8,r_powell,batter,360,254,22,141.7,16.36,5.8429
Tim Seifert ,,Wicket Keeper , Delhi Capitals,2022,"50,00,000 ",Overseas ,,,,5000000,0.5,t_seifert,batter,26,26,3,100.0,8.67,17.34
Pravin Dubey ,,All-Rounder , Delhi Capitals,2022,"50,00,000 ",Indian ,,,,5000000,0.5,p_dubey,allrounder,23,33,2,69.7,11.5,23.0
David Miller ,,Batsman , Gujarat Titans,2022,"3,00,00,000 ",Overseas ,,,,30000000,3.0,d_miller,batter,2924,2171,123,134.7,23.77,7.9233
Jason Roy  ,,Batsman , Gujarat Titans,2022,"2,00,00,000 ",Overseas ,,,,20000000,2.0,j_roy,batter,614,460,21,133.5,29.24,14.62
Wriddhiman  Saha ,,Wicket Keeper , Gujarat Titans,2022,"1,90,00,000 ",Indian ,,,,19000000,1.9,w_saha,batter,2934,2368,143,123.9,20.52,10.8
Matthew Wade ,,Wicket Keeper , Gujarat Titans,2022,"2,40,00,000 ",Overseas ,,,,24000000,2.4,m_wade,batter,183,185,14,98.9,13.07,5.4458
Rahul Tewatia ,,All-Rounder , Gujarat Titans,2022,"9,00,00,000 ",Indian ,,,,90000000,9.0,r_tewatia,allrounder,1013,788,65,128.6,15.58,1.7311
Vijay Shankar ,,All-Rounder , Gujarat Titans,2022,"1,40,00,000 ",Indian ,,,,14000000,1.4,v_shankar,allrounder,1115,890,58,125.3,19.22,13.7286
Jayant Yadav ,,All-Rounder , Gujarat Titans,2022,"1,70,00,000 ",Indian ,,,,17000000,1.7,j_yadav,allrounder,40,38,4,105.3,10.0,5.8824
Darshan Nalkande ,,All-Rounder , Gujarat Titans,2022,"20,00,000 ",Indian ,,,,2000000,0.2,d_nalkande,allrounder,12,12,2,100.0,6.0,30.0
B. Sai Sudharsan ,,All-Rounder , Gujarat Titans,2022,"20,00,000 ",Indian ,,,,2000000,0.2,b_sudharsan,allrounder,1034,770,25,134.3,41.36,206.8
Gurkeerat Singh ,,All-Rounder , Gujarat Titans,2022,"50,00,000 ",Indian ,,,,5000000,0.5,g_singh,allrounder,511,436,32,117.2,15.97,31.94
Pradeep Sangwan ,,All-Rounder , Gujarat Titans,2022,"20,00,000 ",Indian ,,,,2000000,0.2,p_sangwan,allrounder,26,47,14,55.3,1.86,9.3
Pat Cummins ,,All-Rounder , Kolkata Knight Riders,2022,"7,25,00,000 ",Overseas ,,,,72500000,7.25,p_cummins,allrounder,515,359,39,143.5,13.21,1.8221
Shreyas Iyer ,,Batsman , Kolkata Knight Riders,2022,"12,25,00,000 ",Indian ,,,,122500000,12.25,s_iyer,batter,3131,2545,114,123.0,27.46,2.2416
Mohammad  Nabi ,,All-Rounder , Kolkata Knight Riders,2022,"1,00,00,000 ",Overseas ,,,,10000000,1.0,m_nabi,allrounder,221,157,19,140.8,11.63,11.63
Nitish Rana ,,All-Rounder , Kolkata Knight Riders,2022,"8,00,00,000 ",Indian ,,,,80000000,8.0,n_rana,allrounder,2636,2015,101,130.8,26.1,3.2625
Sam Billings  ,,Wicket Keeper , Kolkata Knight Riders,2022,"2,00,00,000 ",Overseas ,,,,20000000,2.0,s_billings,batter,503,399,27,126.1,18.63,9.315
Shivam  Mavi ,,All-Rounder , Kolkata Knight Riders,2022,"7,25,00,000 ",Indian ,,,,72500000,7.25,s_mavi,allrounder,51,58,11,87.9,4.64,0.64
Sheldon Jackson ,,Wicket Keeper , Kolkata Knight Riders,2022,"60,00,000 ",Indian ,,,,6000000,0.6,s_jackson,batter,61,57,8,107.0,7.62,12.7
Ajinkya Rahane ,,Batsman , Kolkata Knight Riders,2022,"1,00,00,000 ",Indian ,,,,10000000,1.0,a_rahane,batter,4642,3858,171,120.3,27.15,27.15
Rinku Singh ,,Batsman , Kolkata Knight Riders,2022,"55,00,000 ",Indian ,,,,5500000,0.55,r_singh,batter,893,654,40,136.5,22.32,40.5818
Rinku Singh ,,Batsman , Kolkata Knight Riders,2022,"55,00,000 ",Indian ,,,,5500000,0.55,r_singh,batter,52,78,28,66.7,1.86,3.3818
Rinku Singh ,,Batsman , Kolkata Knight Riders,2022,"55,00,000 ",Indian ,,,,5500000,0.55,r_singh,batter,170,106,13,160.4,13.08,23.7818
Anukul Roy ,,All-Rounder , Kolkata Knight Riders,2022,"20,00,000 ",Indian ,,,,2000000,0.2,a_roy,allrounder,26,24,6,108.3,4.33,21.65
Alex Hales  ,,Batsman , Kolkata Knight Riders,2022,"1,50,00,000 ",Overseas ,,,,15000000,1.5,a_hales,batter,148,119,6,124.4,24.67,16.4467
Baba Indrajith ,,Wicket Keeper , Kolkata Knight Riders,2022,"20,00,000 ",Indian ,,,,2000000,0.2,b_indrajith,batter,21,31,3,67.7,7.0,35.0
Abhijeet Tomar ,,Batsman , Kolkata Knight Riders,2022,"40,00,000 ",Indian ,,,,4000000,0.4,a_tomar,batter,4,8,1,50.0,4.0,10.0
Aman Khan ,,All-Rounder , Kolkata Knight Riders,2022,"20,00,000 ",Indian ,,,,2000000,0.2,a_khan,allrounder,115,109,10,105.5,11.5,57.5
Aman Khan ,,All-Rounder , Kolkata Knight Riders,2022,"20,00,000 ",Indian ,,,,2000000,0.2,a_khan,allrounder,96,67,6,143.3,16.0,80.0
Aman Khan ,,All-Rounder , Kolkata Knight Riders,2022,"20,00,000 ",Indian ,,,,2000000,0.2,a_khan,allrounder,41,25,9,164.0,4.56,22.8
Ramesh Kumar ,,Batsman , Kolkata Knight Riders,2022,"20,00,000 ",Indian ,,,,2000000,0.2,r_kumar,batter,310,289,42,107.3,7.38,36.9
Pratham Singh ,,Batsman , Kolkata Knight Riders,2022,"20,00,000 ",Indian ,,,,2000000,0.2,p_singh,batter,756,528,34,143.2,22.24,111.2
Pratham Singh ,,Batsman , Kolkata Knight Riders,2022,"20,00,000 ",Indian ,,,,2000000,0.2,p_singh,batter,7,12,5,58.3,1.4,7.0
Quinton De Kock ,,Wicket Keeper , Lucknow Super Giants,2022,"6,75,00,000 ",Overseas ,,,,67500000,6.75,q_kock,batter,3160,2410,107,131.1,29.53,4.3748
Manish Pandey ,,Batsman , Lucknow Super Giants,2022,"4,60,00,000 ",Indian ,,,,46000000,4.6,m_pandey,batter,3859,3288,158,117.4,24.42,5.3087
Krunal Pandya ,,All-Rounder , Lucknow Super Giants,2022,"8,25,00,000 ",Indian ,,,,82500000,8.25,k_pandya,allrounder,1647,1287,107,128.0,15.39,1.8655
K. Gowtham ,,All-Rounder , Lucknow Super Giants,2022,"90,00,000 ",Indian ,,,,9000000,0.9,k_gowtham,allrounder,247,159,27,155.3,9.15,10.1667
Manan Vohra ,,Batsman , Lucknow Super Giants,2022,"20,00,000 ",Indian ,,,,2000000,0.2,m_vohra,batter,1083,863,51,125.5,21.24,106.2
Evin Lewis ,,Batsman , Lucknow Super Giants,2022,"2,00,00,000 ",Overseas ,,,,20000000,2.0,e_lewis,batter,654,499,26,131.1,25.15,12.575
Ayush Badoni ,,All-Rounder , Lucknow Super Giants,2022,"20,00,000 ",Indian ,,,,2000000,0.2,a_badoni,allrounder,634,505,35,125.5,18.11,90.55
Kyle Mayers ,,All-Rounder , Lucknow Super Giants,2022,"50,00,000 ",Overseas ,,,,5000000,0.5,k_mayers,allrounder,379,276,13,137.3,29.15,58.3
Karan Sharma ,,All-Rounder , Lucknow Super Giants,2022,"20,00,000 ",Indian ,,,,2000000,0.2,k_sharma,allrounder,16,25,3,64.0,5.33,26.65
Karan Sharma ,,All-Rounder , Lucknow Super Giants,2022,"20,00,000 ",Indian ,,,,2000000,0.2,k_sharma,allrounder,351,306,39,114.7,9.0,45.0
Jason Holder ,,All-Rounder , Lucknow Super Giants,2022,"8,75,00,000 ",Overseas ,,,,87500000,8.75,j_holder,allrounder,259,217,27,119.4,9.59,1.096
Deepak Hooda ,,All-Rounder , Lucknow Super Giants,2022,"5,75,00,000 ",Indian ,,,,57500000,5.75,d_hooda,allrounder,1466,1170,96,125.3,15.27,2.6557
Ishan Kishan ,,Wicket Keeper , Mumbai Indians,2022,"15,25,00,000 ",Indian ,,,,152500000,15.25,i_kishan,batter,2644,1991,99,132.8,26.71,1.7515
Dewald Brevis ,,Batsman , Mumbai Indians,2022,"3,00,00,000 ",Overseas ,,,,30000000,3.0,d_brevis,batter,230,176,10,130.7,23.0,7.6667
Anmolpreet Singh ,,Batsman , Mumbai Indians,2022,"20,00,000 ",Indian ,,,,2000000,0.2,a_singh,batter,2,10,5,20.0,0.4,2.0
Anmolpreet Singh ,,Batsman , Mumbai Indians,2022,"20,00,000 ",Indian ,,,,2000000,0.2,a_singh,batter,63,69,4,91.3,15.75,78.75
Anmolpreet Singh ,,Batsman , Mumbai Indians,2022,"20,00,000 ",Indian ,,,,2000000,0.2,a_singh,batter,139,117,9,118.8,15.44,77.2
Anmolpreet Singh ,,Batsman , Mumbai Indians,2022,"20,00,000 ",Indian ,,,,2000000,0.2,a_singh,batter,36,47,8,76.6,4.5,22.5
Anmolpreet Singh ,,Batsman , Mumbai Indians,2022,"20,00,000 ",Indian ,,,,2000000,0.2,a_singh,batter,29,42,11,69.0,2.64,13.2
Sanjay Yadav ,,All-Rounder , Mumbai Indians,2022,"50,00,000 ",Indian ,,,,5000000,0.5,s_yadav,allrounder,3594,2522,135,142.5,26.62,53.24
Jofra Archer ,,All-Rounder , Mumbai Indians,2022,"8,00,00,000 ",Overseas ,,,,80000000,8.0,j_archer,allrounder,199,132,23,150.8,8.65,1.0812
Daniel Sams ,,All-Rounder , Mumbai Indians,2022,"2,60,00,000 ",Overseas ,,,,26000000,2.6,d_sams,allrounder,44,48,13,91.7,3.38,1.3
Tim David ,,All-Rounder , Mumbai Indians,2022,"8,25,00,000 ",Overseas ,,,,82500000,8.25,t_david,allrounder,659,417,35,158.0,18.83,2.2824
Ramandeep  Singh ,,All-Rounder , Mumbai Indians,2022,"20,00,000 ",Indian ,,,,2000000,0.2,r_singh,allrounder,893,654,40,136.5,22.32,111.6
Ramandeep  Singh ,,All-Rounder , Mumbai Indians,2022,"20,00,000 ",Indian ,,,,2000000,0.2,r_singh,allrounder,52,78,28,66.7,1.86,9.3
Ramandeep  Singh ,,All-Rounder , Mumbai Indians,2022,"20,00,000 ",Indian ,,,,2000000,0.2,r_singh,allrounder,170,106,13,160.4,13.08,65.4
Fabian Allen ,,All-Rounder , Mumbai Indians,2022,"75,00,000 ",Overseas ,,,,7500000,0.75,f_allen,allrounder,14,19,3,73.7,4.67,6.2267
